"","google_knowledge_occupation","group","year","month","day","imie","nazwisko"
"92","actor","Acting",1999,4,26,"Seth","Green"
"93","actress","Acting",1999,4,27,"Sheryl","Lee Ralph"
"94","singer","Musician",1999,4,28,"Chris","Robinson"
"95","comedian","Comedy",1999,4,29,"Joy","Behar"
"96","actor","Acting",1999,5,10,"Thomas","Gibson"
"97","actress","Acting",1999,5,11,"Paula","Cale"
"98","actor","Acting",1999,5,12,"Ted","Danson"
"99","actor","Acting",1999,5,13,"Esai","Morales"
"100","actress","Acting",1999,5,17,"Jane","Seymour"
"101","comedian","Comedy",1999,5,18,"Robert","Schimmel"
"102","actress","Acting",1999,5,19,"Camryn","Manheim"
"103","actor","Acting",1999,5,20,"Ray","Romano"
"104","television actress","Acting",1999,5,24,"Patricia","Richardson"
"105","actress","Acting",1999,5,25,"Suzanne","Somers"
"106","actress","Acting",1999,5,26,"Natalie","Portman"
"107","actor","Acting",1999,5,27,"Jamie","Foxx"
"108","actor","Acting",1999,6,10,"Timothy","Hutton"
"109","actor","Acting",1999,6,14,"Mike","Myers"
"110","actor","Acting",1999,6,15,"Rob","Lowe"
"111","actor","Acting",1999,6,16,"Mike","Myers"
"112","actress","Acting",1999,6,17,"Heather","Graham"
"113","film actress","Acting",1999,6,21,"Felicity","Huffman"
"114","television host","Media",1999,6,22,"Jimmy","Kimmel"
"115","actor","Acting",1999,6,23,"Adam","Sandler"
"116","stand-up comedian","Comedy",1999,6,24,"Richard","Belzer"
"117","comedian","Comedy",1999,6,28,"Margaret","Cho"
"118","actor","Acting",1999,6,29,"Scott","Wolf"
"119","actress","Acting",1999,6,30,"Roseanne","Barr"
"120","singer","Musician",1999,6,7,"Harry","Connick Jr."
"121","comedian","Comedy",1999,6,8,"Caroline","Rhea"
"122","actor","Acting",1999,6,9,"Damon","Wayans"
"123","actor","Acting",1999,7,1,"Rob","Schneider"
"124","televison actor","Acting",1999,7,12,"Adam","Arkin"
"125","muppet","Media",1999,7,13,"Miss","Piggy"
"126","actor","Acting",1999,7,14,"John","Leguizamo"
"127","stand-up comedian","Comedy",1999,7,15,"Robert","Klein"
"128","actress","Acting",1999,7,19,"Christa","Miller"
"129","stand-up comedian","Comedy",1999,7,20,"David","Brenner"
"130",NA,NA,1999,7,21,"Third","Anniversary Special"
"131","actress","Acting",1999,7,22,"Joely","Fisher"
"132","singer","Musician",1999,7,26,"Donny","Osmond"
"133","actress","Acting",1999,7,27,"Wendie","Malick"
"134","vocalist","Musician",1999,7,28,"Vince","Neil"
"135","film actress","Acting",1999,7,29,"Janeane","Garofalo"
"136","comedian","Comedy",1999,8,10,"Dom","Irrera"
"137","actor","Acting",1999,8,11,"Pierce","Brosnan"
"138","director","Media",1999,8,12,"Eduardo","Sanchez and Daniel Myrick"
"139","film director","Media",1999,8,12,"Eduardo","Sanchez and Daniel Myrick"
"140","american television personality","Media",1999,8,16,"Carson","Daly"
"141","actress","Acting",1999,8,17,"Molly","Ringwald"
