"","google_knowledge_occupation","group","year","month","day","imie","nazwisko"
"827","political scientist","Consultant",2004,1,27,"Richard","Perle"
"828","former governor of new jersey","Politician",2004,1,28,"Christine","Todd Whitman"
"829","actor","Acting",2004,1,29,"Kelsey","Grammer"
"830","journalist","Media",2004,1,6,"Tom","Brokaw"
"831","actor","Acting",2004,1,7,"Elijah","Wood"
"832","actress","Acting",2004,1,8,"Charlize","Theron"
"833","us representative","Politician",2004,10,18,"Ed","Koch"
"834","actress","Acting",2004,10,19,"Marisa","Tomei"
"835","journalist","Media",2004,10,20,"Fareed","Zakaria"
"836","actor","Acting",2004,10,21,"Billy","Crudup"
"837","former united states secretary of state","Politician",2004,10,25,"Madeleine","Albright"
"838","former governor of nebraska","Politician",2004,10,26,"Bob","Kerrey"
"839","civil rights activist","Advocacy",2004,10,27,"Jesse","Jackson"
"840","author","Media",2004,10,28,"John","Zogby"
"841","social activist","Advocacy",2004,10,4,"Bishop","Desmond Tutu"
"842","actor","Acting",2004,10,5,"Billy","Bob Thornton"
"843","journalist","Media",2004,10,6,"Bob","Schieffer"
"844","television host","Media",2004,10,7,"Bill","O'Reilly"
"845","television host","Media",2004,11,1,"Chris","Wallace"
"846","author","Media",2004,11,10,"Tom","Wolfe"
"847","analyst","Consultant",2004,11,11,"Kenneth","Pollack"
"848","former us senator","Politician",2004,11,15,"Kay","Bailey Hutchison"
"849","journalist","Media",2004,11,16,"Tom","Brokaw"
"850","historian","Academic",2004,11,17,"Thomas","Frank"
"851","actor","Acting",2004,11,18,"Woody","Harrelson"
"852","former govrnor of masssachusetts","Politician",2004,11,2,"William","Weld & Al Sharpton"
"853","minister","Clergy",2004,11,2,"William","Weld & Al Sharpton"
"854","actor","Acting",2004,11,29,"Jude","Law"
"855","us senator","Politician",2004,11,3,"Sen.","Charles Schumer"
"856","journalist","Media",2004,11,30,"Brian","Williams"
"857","commentator","Media",2004,11,4,"William","Kristol"
"858","businessman","Business",2004,11,9,"Richard","Branson"
"859","author","Media",2004,12,1,"Christopher","Hitchens"
"860","actor","Acting",2004,12,13,"Kevin","Spacey"
"861","diplomat","Government",2004,12,14,"Dore","Gold"
"862","comedian","Comedy",2004,12,15,"Billy","Connolly"
"863","journalist","Media",2004,12,16,"Katie","Couric"
"864","author","Media",2004,12,2,"Stephen","King"
"865","actress","Acting",2004,12,6,"Isabella","Rossellini"
"866","baseball player","Athletics",2004,12,7,"Paul","O'Neill"
"867","writer","Media",2004,12,8,"Seth","Mnookin"
"868","actress","Acting",2004,12,9,"Kate","Bosworth"
"869","comedian","Comedy",2004,2,10,"Dave","Chappelle"
"870","actor","Acting",2004,2,11,"Paul","Rudd"
"871","actress","Acting",2004,2,12,"Drew","Barrymore"
"872","singer","Musician",2004,2,2,"Randy","Jackson"
"873","television personality","Media",2004,2,23,"Tyra","Banks"
"874","writer","Media",2004,2,24,"John","Podhoretz"
"875","singer-songwriter","Musician",2004,2,25,"Norah","Jones"
"876","actor","Acting",2004,2,26,"Samuel","L. Jackson"
"877","business magnate","Business",2004,2,3,"Donald","Trump"
"878","american politician","Politician",2004,2,4,"Bob","Dole"
"879","film actor","Acting",2004,2,5,"Noah","Wyle"
"880","journalist","Media",2004,2,9,"Charles","Lewis"
"881","television actress","Acting",2004,3,1,"Edie","Falco"
"882","comedian","Comedy",2004,3,10,"George","Carlin"
"883","journalist","Media",2004,3,11,"Paula","Zahn"
"884","us senator","Politician",2004,3,15,"Sen.","Charles Schumer"
"885","television personality","Media",2004,3,16,"John","Stossel"
"886","actor","Acting",2004,3,17,"Mekhi","Phifer"
"887","actor","Acting",2004,3,18,"Ethan","Hawke"
"888","journalist","Media",2004,3,2,"Mark","Ebner"
"889","trumpeter","Musician",2004,3,22,"Wynton","Marsalis"
"890","actor","Acting",2004,3,23,"Tom","Hanks"
"891","actor","Acting",2004,3,24,"Jamie","Foxx"
"892","united states senator","Politician",2004,3,25,"Al","Franken"
"893","actress","Acting",2004,3,29,"Jennifer","Beals"
"894","former mayor of new york","Politician",2004,3,3,"Rudolph","Giuliani"
"895","adviser","Consultant",2004,3,30,"Richard","A. Clarke"
"896","public official","Government",2004,3,31,"Karen","Hughes"
"897","actor","Acting",2004,3,4,"Willem","Dafoe"
"898","actor","Acting",2004,3,8,"Val","Kilmer"
"899","political figure","Politician",2004,3,9,"Ed","Gillespie"
"900","stunt perfomrer","Acting",2004,4,1,"Johnny","Knoxville"
"901","singer-songwriter","Musician",2004,4,19,"Melissa","Etheridge"
"902","actor","Acting",2004,4,20,"Mark","Ruffalo"
"903","television host","Media",2004,4,21,"John","Gibson"
"904","author","Media",2004,4,22,"Arianna","Huffington"
"905","former governor of nebraska","Politician",2004,4,26,"Bob","Kerrey"
"906","actress","Acting",2004,4,27,"Rebecca","Romijn"
"907","journalist","Media",2004,4,28,"Fareed","Zakaria"
"908","journalist","Media",2004,4,29,"Bob","Woodward"
"909","comedian","Comedy",2004,4,5,"Jerry","Seinfeld"
"910","actor","Acting",2004,4,6,"Matthew","Perry and Bruce Willis"
"911","actor","Acting",2004,4,6,"Matthew","Perry and Bruce Willis"
"912","actor","Acting",2004,4,7,"Tim","Robbins"
"913","actor","Acting",2004,4,8,"Jason","Bateman"
"914","us senator","Politician",2004,5,10,"Sen.","John McCain"
"915","journalist","Media",2004,5,11,"Tim","Russert"
"916","american political figure","Politician",2004,5,12,"Ken","Mehlman"
"917","commentator","Media",2004,5,13,"William","Kristol"
"918","film actress","Acting",2004,5,3,"Janeane","Garofalo"
"919","diplomat","Government",2004,5,4,"Joseph","C. Wilson"
"920","basketball player","Athletics",2004,5,5,"Kareem","Abdul-Jabbar"
"921","actor","Acting",2004,5,6,"Andy","Richter"
"922","stand-up comedian","Comedy",2004,6,1,"David","Cross"
"923","actress","Acting",2004,6,10,"Jennifer","Love Hewitt"
"924","actor","Acting",2004,6,14,"Stanley","Tucci"
"925","physician","Science",2004,6,15,"Hassan","Ibrahim"
"926","former united states secretary of labor","Politician",2004,6,16,"Robert","Reich"
"927","television presenter","Media",2004,6,17,"Graham","Norton"
"928","journalist","Media",2004,6,2,"Thomas","Friedman"
"929","columnist","Media",2004,6,21,"Stephen","F. Hayes"
"930","actress","Acting",2004,6,22,"Ashley","Judd"
"931","actor","Acting",2004,6,23,"Kevin","Kline"
"932","filmmaker","Media",2004,6,24,"Michael","Moore"
"933","governor of virginia","Politician",2004,6,28,"Terry","McAuliffe"
"934","author","Media",2004,6,29,"Edward","Conlon"
"935","former governor of new york","Politician",2004,6,3,"Mario","Cuomo"
"936","journalist","Media",2004,6,30,"Calvin","Trillin"
"937","author","Media",2004,6,7,"Donna","Brazile"
"938","commentator","Media",2004,6,8,"David","Brooks"
"939","documentary filmmaker","Media",2004,6,9,"Morgan","Spurlock"
"940","journalist","Media",2004,7,12,"Wolf","Blitzer"
"941","journalist","Media",2004,7,13,"Michael","Isikoff"
"942","author","Media",2004,7,14,"Sarah","Vowell"
"943","actor","Acting",2004,7,15,"Sacha","Baron Cohen"
"944","former governor of new mexico","Politician",2004,7,27,"Gov.","Bill Richardson"
"945","us senator","Politician",2004,7,28,"Sen.","Joe Biden"
"946",NA,NA,2004,7,29,"None",NA
"947",NA,NA,2004,7,30,"None",NA
"948","activist","Advocacy",2004,7,6,"Ralph","Nader (show hosted by Stephen Colbert)"
"949","actor","Acting",2004,7,7,"Will","Ferrell"
"950","actress","Acting",2004,7,8,"Christina","Applegate"
"951","columnist","Media",2004,8,10,"Maureen","Dowd"
"952","actor","Acting",2004,8,11,"Tom","Cruise"
"953","author","Media",2004,8,12,"Bryan","Keefer"
"954","former american senator","Politician",2004,8,17,"Norm","Coleman"
"955","actor","Acting",2004,8,18,"Burt","Reynolds"
"956","actor","Acting",2004,8,19,"Seth","Green"
"957","us representative","Politician",2004,8,2,"Rep.","Henry Bonilla"
"958","musician","Musician",2004,8,23,"Robert","Smith"
"959","secretary of state","Politician",2004,8,24,"John","Kerry"
"960","political figure","Politician",2004,8,25,"Ed","Gillespie"
"961","film director","Media",2004,8,3,"Spike","Lee"
"962","0",NA,2004,8,30,"(None)",NA
"963","broadcaster","Media",2004,8,31,"Ted","Koppel"
"964","film actor","Acting",2004,8,4,"Aaron","Eckhart"
"965","actress","Acting",2004,8,5,"Natalie","Portman"
"966","us president","Politician",2004,8,9,"Bill","Clinton"
"967","assistant to the president for communications","Political Aide",2004,9,1,"Dan","Bartlett"
"968","actress","Acting",2004,9,13,"Drew","Barrymore"
"969","former assistant to the president for communications","Political Aide",2004,9,14,"Pat","Buchanan"
"970","actor","Acting",2004,9,15,"Alec","Baldwin"
"971","actress","Acting",2004,9,16,"Gwyneth","Paltrow"
"972","us senator","Politician",2004,9,2,"Sen.","John McCain"
"973","adviser","Consultant",2004,9,21,"Richard","Clarke"
"974","former governor of montans","Politician",2004,9,22,"Gov.","Marc Racicot"
"975","actor","Acting",2004,9,23,"Matthew","Broderick"
"976","actress","Acting",2004,9,27,"Rosie","Perez"
"977","activist","Advocacy",2004,9,28,"Ralph","Reed"
"978","journalist","Media",2004,9,29,"Seymour","Hersh"
"979","commentator","Media",2004,9,3,"Chris","Matthews"
"980","political figure","Politician",2004,9,30,"Wesley","Clark"
"981","former mayor of new york","Politician",2004,9,30,"Rudolph","Giuliani"
"982","lawyer","Misc",2005,1,10,"John","Grisham"
"983","actor","Acting",2005,1,11,"Samuel","L. Jackson"
"984","actor","Acting",2005,1,12,"Dennis","Quaid"
"985","actress","Acting",2005,1,13,"Annette","Bening"
"986","journalist","Media",2005,1,17,"Brian","Ross"
"987","writer","Media",2005,1,18,"Jim","Wallis"
"988","historian","Academic",2005,1,19,"Michael","Beschloss"
"989","us senator","Politician",2005,1,20,"Sen.","Joe Lieberman"
"990","political figure","Politician",2005,1,24,"Richard","Viguerie"
"991","journalist","Media",2005,1,25,"Seymour","Hersh"
"992","actor","Acting",2005,1,26,"John","Leguizamo"
"993","former governor of new jersey","Politician",2005,1,27,"Christine","Todd Whitman"
"994","journalist","Media",2005,1,31,"Fareed","Zakaria"
"995","actor","Acting",2005,1,4,"Paul","Giamatti"
"996","actor","Acting",2005,1,5,"Don","Cheadle"
"997","historian","Academic",2005,1,6,"Howard","Zinn"
"998","singer-songwriter","Musician",2005,10,17,"Dolly","Parton"
"999","television host","Media",2005,10,18,"Bill","O'Reilly"
"1000","us assistant attorney","Government",2005,10,19,"Louis","Freeh"
"1001","actor","Acting",2005,10,20,"Dwayne","The Rock"" Johnson"""
"1002","commentator","Media",2005,10,24,"William","Kristol"
"1003","united states senator","Politician",2005,10,25,"Al","Franken"
"1004","biographer","Media",2005,10,26,"Doris","Kearns Goodwin"
"1005","military officer","Military",2005,10,27,"Janis","Karpinski"
"1006","writer","Media",2005,10,3,"David","Rakoff"
"1007","actor","Acting",2005,10,31,"D.L.","Hughley"
"1008","actress","Acting",2005,10,4,"Cameron","Diaz"
"1009","us senator","Politician",2005,10,5,"Sen.","John Edwards"
"1010","actor","Acting",2005,10,6,"Philip","Seymour Hoffman"
"1011","us senator","Politician",2005,11,1,"Sen.","Barbara Boxer"
"1012","actor","Acting",2005,11,10,"Chris","Elliott"
"1013","businesswoman","Business",2005,11,14,"Martha","Stewart"
"1014","actress","Acting",2005,11,15,"Rosario","Dawson"
"1015","author","Media",2005,11,16,"John","Hodgman"
"1016","adviser","Consultant",2005,11,17,"Richard","Clarke"
"1017","american football wide receiver","Athletics",2005,11,2,"Mike","Wallace"
"1018","actor","Acting",2005,11,28,"Adrien","Brody"
"1019","author","Media",2005,11,29,"Peggy","Noonan"
"1020","lawyer","Misc",2005,11,3,"Robert","Ray"
"1021","former speaker of the the house","Politician",2005,11,30,"Rep.","Nancy Pelosi"
"1022","us senator","Politician",2005,11,7,"Sen.","Barack Obama"
"1023","us senator","Politician",2005,11,8,"Sen.","John McCain"
"1024","actress","Acting",2005,11,9,"Keira","Knightley"
"1025","rock duo","Musician",2005,12,1,"The","White Stripes"
"1026","radio personality","Media",2005,12,13,"Howard","Stern"
"1027","journalist","Media",2005,12,14,"Tom","Brokaw"
"1028","actress","Acting",2005,12,15,"Sarah","Jessica Parker"
"1029","former president","Politician",2005,12,5,"Jimmy","Carter"
"1030","actress","Acting",2005,12,6,"Michelle","Yeoh"
"1031","author","Media",2005,12,7,"David","McCullough"
"1032","writer","Media",2005,12,8,"Ken","Auletta"
"1033","singer-songwriter","Musician",2005,2,1,"Paula","Abdul"
"1034","writer","Media",2005,2,14,"Redmond","O'Hanlon"
"1035","comedian","Comedy",2005,2,15,"Eric","Idle"
"1036","actor","Acting",2005,2,16,"Alan","Cumming"
"1037","consultant","Political Aide",2005,2,17,"Mark","P. Mills"
"1038","journalist","Media",2005,2,2,"Anderson","Cooper"
"1039","film actress","Acting",2005,2,22,"Rachel","Weisz"
"1040","journalist","Media",2005,2,23,"Peter","Jennings"
"1041","actress","Acting",2005,2,24,"Christina","Ricci"
"1042","former governor of nebraska","Politician",2005,2,28,"Ben","Nelson"
"1043","journalist","Media",2005,2,3,"Joe","Klein"
"1044","foreign policy strategist","Academic",2005,3,1,"Nancy","Soderberg"
"1045","economist","Academic",2005,3,10,"Paul","Krugman"
"1046","philosopher","Academic",2005,3,14,"Harry","Frankfurt"
"1047","correspondent","Media",2005,3,15,"Tom","Fenton"
"1048","singer","Musician",2005,3,16,"Al","Green"
"1049","television host","Media",2005,3,17,"Craig","Ferguson"
"1050","actor","Acting",2005,3,2,"The","Rock"
"1051","actress","Acting",2005,3,21,"Sandra","Bullock"
"1052","actress","Acting",2005,3,22,"Catherine","Keener"
"1053","singer","Musician",2005,3,23,"Ozzy","Osbourne"
"1054","music producer","Musician",2005,3,24,"RZA",NA
"1055","former white house press secretary","Political Aide",2005,3,3,"Ari","Fleischer"
"1056","film actress","Acting",2005,3,7,"Melissa","Boyle Mahle"
"1057","journalist","Media",2005,3,8,"Brian","Williams"
"1058","actor","Acting",2005,3,9,"Bruce","Willis"
"1059","columnist","Media",2005,4,11,"Byron","York"
"1060","american politician","Politician",2005,4,12,"Bob","Dole"
"1061","journalist","Media",2005,4,13,"John","Avlon"
"1062","actor","Acting",2005,4,14,"David","Duchovny"
"1063","former united states secretary of labor","Politician",2005,4,18,"Robert","Reich"
"1064","author","Media",2005,4,19,"Sarah","Vowell"
"1065","stand-up comedian","Comedy",2005,4,20,"Dennis","Miller"
"1066","professor","Academic",2005,4,21,"Reza","Aslan"
"1067","attorney","Misc",2005,4,25,"Floyd","Abrams"
"1068","rapper","Musician",2005,4,26,"Ice","Cube"
"1069","author","Media",2005,4,27,"Christina","Hoff Sommers"
"1070","economist","Academic",2005,4,28,"Steven","Levitt"
"1071","basketball player","Athletics",2005,4,4,"Reggie","Miller"
"1072","journalist","Media",2005,4,5,"Thomas","L. Friedman"
"1073","actor","Acting",2005,4,6,"Matthew","McConaughey"
"1074","actress","Acting",2005,4,7,"Drew","Barrymore"
"1075","comedian","Comedy",2005,5,10,"Wanda","Sykes"
"1076","television personality","Media",2005,5,11,"Al","Roker"
"1077","television actress","Acting",2005,5,12,"Tracey","Ullman"
"1078","former united states senator","Politician",2005,5,2,"Zell","Miller"
"1079","journalist","Media",2005,5,3,"Christiane","Amanpour"
"1080","journalist","Media",2005,5,31,"Gerald","Posner"
"1081","actor","Acting",2005,5,4,"Martin","Short"
"1082","former governor of pennsylvania","Politician",2005,5,5,"Tom","Ridge"
"1083","film actress","Acting",2005,5,9,"Kathleen","Turner"
"1084","singer","Musician",2005,6,1,"Bo","Bice"
"1085","scholar","Academic",2005,6,13,"Larry","Diamond"
"1086","actor","Acting",2005,6,14,"Will","Ferrell"
"1087","professor","Academic",2005,6,15,"Flynt","Leverett"
"1088","writer","Media",2005,6,16,"Kenneth","Timmerman"
"1089","actor","Acting",2005,6,2,"Russell","Crowe"
"1090","musician","Musician",2005,6,20,"Ringo","Starr"
"1091","singer-songwriter","Musician",2005,6,21,"Dwight","Yoakam"
"1092","former white house press secretary","Political Aide",2005,6,22,"Bill","Moyers"
"1093","former governor of vermont","Politician",2005,6,23,"Howard","Dean"
"1094","author","Media",2005,6,27,"Hanna","Rosin"
"1095","documentary filmmaker","Media",2005,6,28,"Morgan","Spurlock"
"1096","former u.s. representative","Politician",2005,6,6,"Newt","Gingrich"
"1097","author","Media",2005,6,7,"Steven","Johnson"
"1098","former us secretary of defense","Politician",2005,6,8,"Colin","Powell"
"1099","journalist","Media",2005,6,9,"Matt","Lauer"
"1100","professor","Academic",2005,7,11,"Marci","Hamilton"
"1101","author","Media",2005,7,12,"Matt","Taibbi"
"1102","writer","Media",2005,7,13,"Bernard","Goldberg"
"1103","journalist","Media",2005,7,14,"Michael","Isikoff"
"1104","journalist","Media",2005,7,18,"Carl","Bernstein"
"1105","journalist","Media",2005,7,18,"Bob","Woodward"
"1106","actor","Acting",2005,7,19,"Billy","Bob Thornton"
"1107","radio host","Media",2005,7,20,"Robert","F. Kennedy Jr."
"1108","journalist","Media",2005,7,21,"Fareed","Zakaria"
"1109","us senator","Politician",2005,7,25,"Sen.","Rick Santorum"
"1110","actress","Acting",2005,7,26,"Diane","Lane"
"1111","sportscaster","Media",2005,7,27,"Bob","Costas"
"1112","actress","Acting",2005,7,28,"Maggie","Gyllenhaal"
"1113","journalist","Media",2005,8,10,"John","Hockenberry"
"1114","rapper","Musician",2005,8,11,"Andrí©","Benjamin"
"1115","actor","Acting",2005,8,15,"Steve","Carell"
"1116","journalist","Media",2005,8,16,"Seymour","Hersh"
"1117","novelist","Media",2005,8,17,"John","Irving"
"1118","author","Media",2005,8,18,"John","H. Richardson, Jr."
"1119","us senator","Politician",2005,8,2,"Sen.","Joe Biden"
"1120","television host","Media",2005,8,22,"Chris","Wallace"
"1121","film actress","Acting",2005,8,23,"Rachel","Weisz"
"1122","us senator","Politician",2005,8,24,"Sen.","Trent Lott"
"1123","author","Media",2005,8,25,"Christopher","Hitchens"
"1124","author","Media",2005,8,3,"John","Crawford"
"1125","broadcaster","Media",2005,8,4,"Miles","O'Brien"
"1126","actor","Acting",2005,8,8,"Paul","Rudd"
"1127","actress","Acting",2005,8,9,"Kate","Hudson"
"1128","journalist","Media",2005,9,12,"Chris","Mooney"
"1129","writer","Media",2005,9,13,"Kurt","Vonnegut"
"1130","historian","Academic",2005,9,14,"Dr.","Edward J. Larson"
"1131","mathematician","Academic",2005,9,14,"Dr.","William A. Dembski"
"1132","psychic","Misc",2005,9,14,"Ellie","Crystal"
"1133","actress","Acting",2005,9,15,"Gwyneth","Paltrow"
"1134","actor","Acting",2005,9,20,"Alan","Alda"
"1135","comedian","Comedy",2005,9,21,"Ricky","Gervais"
"1136","actor","Acting",2005,9,22,"George","Clooney"
"1137","author","Media",2005,9,26,"Dr.","Irwin Redlener"
"1138","actor","Acting",2005,9,27,"Viggo","Mortensen"
"1139","comedian","Comedy",2005,9,28,"Jeff","Garlin"
"1140","us senator","Politician",2005,9,29,"Sen.","Chuck Schumer"
"1141","doctor","Science",2005,9,6,"Dr.","Marc Siegel"
"1142","actor","Acting",2005,9,7,"Samuel","L. Jackson"
"1143","journalist","Media",2005,9,8,"Brian","Williams"
"1144","actor","Acting",2006,1,10,"Albert","Brooks"
"1145","broadcaster","Media",2006,1,11,"Peter","Bergen"
"1146","lawyer","Misc",2006,1,12,"Edward","Lazarus"
"1147","author","Media",2006,1,16,"Eugene","Jarecki"
"1148","diplomat","Government",2006,1,17,"L.","Paul Bremer"
"1149","lawyer","Misc",2006,1,18,"R.","James Woolsey"
"1150","actor","Acting",2006,1,19,"Josh","Lucas"
"1151","commentator","Media",2006,1,23,"Fred","Barnes"
"1152","professor","Academic",2006,1,24,"Reza","Aslan"
"1153","actor","Acting",2006,1,25,"Anthony","Hopkins"
"1154","intellectual","Academic",2006,1,26,"Bernard-Henri","Lí©vy"
"1155","singer","Musician",2006,1,30,"Randy","Jackson"
"1156","basketball player","Athletics",2006,1,31,"Charles","Barkley"
"1157","journalist","Media",2006,1,4,"George","Packer"
"1158","actor","Acting",2006,1,5,"Pierce","Brosnan"
"1159","journalist","Media",2006,1,9,"James","Risen"
"1160","stand-up comedian","Comedy",2006,10,10,"David","Cross"
"1161","television personality","Media",2006,10,11,"Lou","Dobbs"
"1162","journalist","Media",2006,10,12,"David","Mark"
"1163","essayist","Media",2006,10,16,"Frank","Rich"
"1164","actress","Acting",2006,10,17,"Amy","Sedaris"
"1165","former governor of missouri","Politician",2006,10,18,"John","Ashcroft"
"1166","actress","Acting",2006,10,19,"Kirsten","Dunst"
"1167","former united states senator","Politician",2006,10,2,"Trent","Lott"
"1168","stand-up comedian","Comedy",2006,10,3,"Dennis","Miller"
"1169","basketball player","Athletics",2006,10,30,"LeBron","James"
"1170","political scientist","Consultant",2006,10,31,"John","Mueller"
"1171","political scientist","Consultant",2006,10,4,"Ian","Bremmer"
"1172","writer","Media",2006,10,5,"David","Rakoff"
"1173","former white house chief of staff","Politician",2006,10,9,"James","Baker"
"1174",NA,NA,2006,11,1,"None",NA
"1175","actress","Acting",2006,11,13,"Tina","Fey"
"1176","former american senator","Politician",2006,11,14,"John","Edwards"
"1177","broadcaster","Media",2006,11,15,"Ted","Koppel"
"1178","entrepreneur","Business",2006,11,16,"Muhammad","Yunus"
"1179","actor","Acting",2006,11,2,"Sacha","Baron Cohen"
"1180","mayor of chicago","Politician",2006,11,27,"Rahm","Emanuel"
"1181","singer-songwriter","Musician",2006,11,28,"Tom","Waits"
"1182","actor","Acting",2006,11,29,"George","Clooney"
"1183","rock duo","Musician",2006,11,30,"Tenacious","D"
"1184","comedian","Comedy",2006,11,6,"Jerry","Seinfeld"
"1185","journalist","Media",2006,11,7,"Dan","Rather"
"1186","former governor of vermont","Politician",2006,11,8,"Howard","Dean"
"1187","actor","Acting",2006,11,9,"Dustin","Hoffman"
"1188","former governor of rhode island","Politician",2006,12,11,"Lincoln","Chafee"
"1189","journalist","Media",2006,12,12,"Fareed","Zakaria"
"1190","comedian","Comedy",2006,12,13,"Ricky","Gervais"
"1191","journalist","Media",2006,12,14,"Rajiv","Chandrasekaran"
"1192","united states secretary of agriculture","Politician",2006,12,18,"Tom","Vilsack"
"1193","commentator","Media",2006,12,19,"Bill","Kristol"
"1194","actor","Acting",2006,12,20,"Ben","Stiller"
"1195","actor","Acting",2006,12,4,"Nathan","Lane"
"1196","former us senator","Politician",2006,12,5,"John","Danforth"
"1197","author","Media",2006,12,6,"Eve","Herold"
"1198","high-altitude mountaineer","Athletics",2006,12,7,"Ed","Viesturs"
"1199","historian","Academic",2006,2,1,"Michael","Beschloss"
"1200","astronaut","Science",2006,2,13,"Astronaut","Mike Mullane"
"1201","economist","Academic",2006,2,14,"Peter","Tertzakian"
"1202","actress","Acting",2006,2,15,"Julianne","Moore"
"1203","actor","Acting",2006,2,16,"Ed","Harris"
"1204","journalist","Media",2006,2,2,"Robert","O'Harrow, Jr."
"1205","author","Media",2006,2,21,"Sarah","Vowell"
"1206","actor","Acting",2006,2,22,"Matthew","Fox"
"1207","film critic","Media",2006,2,23,"Roger","Ebert"
"1208","communications consultant","Political Aide",2006,2,7,"Torie","Clarke"
"1209","actor","Acting",2006,2,8,"Harrison","Ford"
"1210","actor","Acting",2006,2,9,"Will","Arnett"
"1211","author","Media",2006,3,13,"Eric","Burns"
"1212","scholar","Academic",2006,3,14,"Bart","Ehrman"
"1213","actress","Acting",2006,3,15,"Natalie","Portman"
"1214","actor","Acting",2006,3,16,"Vin","Diesel"
"1215","actor","Acting",2006,3,20,"Clive","Owen"
"1216","author","Media",2006,3,21,"Georges","Sada"
"1217","us senator","Politician",2006,3,22,"Senator","Russ Feingold"
"1218","professor","Academic",2006,3,23,"Michael","Mandelbaum"
"1219","journalist","Media",2006,3,27,"Michael","Gordon"
"1220","journalist","Media",2006,3,28,"Fareed","Zakaria"
"1221","singer","Musician",2006,3,29,"Queen","Latifah"
"1222","actress","Acting",2006,3,30,"Sharon","Stone"
"1223","author","Media",2006,3,7,"Eugene","Linden"
"1224","singer-songwriter","Musician",2006,3,8,"Neil","Young"
"1225","historian","Academic",2006,3,9,"Bruce","Bartlett"
"1226","editor","Media",2006,4,17,"Jon","Meacham"
"1227","journalist","Media",2006,4,18,"Ryan","Nerz"
"1228","actor","Acting",2006,4,19,"Dennis","Quaid"
"1229","former united states senator","Politician",2006,4,20,"Ted","Kennedy"
"1230","israeli official","Government",2006,4,24,"Efraim","Halevy"
"1231","actor","Acting",2006,4,25,"Tom","Selleck"
"1232","author","Media",2006,4,26,"Kimberley","Strassel"
"1233","actor","Acting",2006,4,27,"Robin","Williams"
"1234","comedian","Comedy",2006,4,3,"Ricky","Gervais"
"1235","author","Media",2006,4,4,"Studs","Terkel"
"1236","military","Military",2006,4,5,"Tony","Zinni"
"1237","actor","Acting",2006,4,6,"Josh","Hartnett"
"1238","journalist","Media",2006,5,1,"Matthew","Continetti"
"1239","comedian","Comedy",2006,5,10,"Billy","Connolly"
"1240","political scientist","Consultant",2006,5,11,"Francis","Fukuyama"
"1241","former governor of vermont","Politician",2006,5,15,"Howard","Dean"
"1242","actor","Acting",2006,5,16,"Denis","Leary"
"1243","columnist","Media",2006,5,17,"Ramesh","Ponnuru"
"1244","singer-songwriter","Musician",2006,5,18,"Willie","Nelson"
"1245","former united states secretary of state","Politician",2006,5,2,"Madeleine","Albright"
"1246","inspector general of homeland security department","Government",2006,5,3,"Clark","Kent Ervin"
"1247","actor","Acting",2006,5,4,"John","Malkovich"
"1248","journalist","Media",2006,5,8,"David","Remnick"
"1249","reporter","Media",2006,5,9,"Eric","Shawn"
"1250","journalist","Media",2006,6,12,"Thomas","Friedman"
"1251","american political figure","Politician",2006,6,13,"Ken","Mehlman"
"1252","journalist","Media",2006,6,14,"Tim","Russert"
"1253","comedian","Comedy",2006,6,15,"Louis","C.K."
"1254","journalist","Media",2006,6,19,"Calvin","Trillin"
"1255","journalist","Media",2006,6,20,"Juliet","Eilperin"
"1256","journalist","Media",2006,6,21,"Anderson","Cooper"
"1257","actor","Acting",2006,6,22,"Adam","Sandler"
"1258","professional road racing cyclist","Athletics",2006,6,26,"Lance","Armstrong"
"1259","author","Media",2006,6,27,"Helen","Thomas"
"1260","former vice president","Politician",2006,6,28,"Al","Gore"
"1261","actor","Acting",2006,6,29,"Kevin","Spacey"
"1262","author","Media",2006,6,5,"Caroline","Kennedy"
"1263","former us secretary of education","Politician",2006,6,6,"William","John Bennett"
"1264","actress","Acting",2006,6,7,"Bonnie","Hunt"
"1265","actress","Acting",2006,6,8,"Lily","Tomlin"
"1266","telvision actor","Acting",2006,7,10,"Ilario","Pantano"
"1267","former white house counsel","Political Aide",2006,7,11,"John","Dean"
"1268","actor","Acting",2006,7,12,"Shawn","Wayans"
"1269","actor","Acting",2006,7,13,"Owen","Wilson"
"1270","lawyer","Misc",2006,7,17,"Gordon","G. Chang"
"1271","film director","Media",2006,7,18,"M.","Night Shyamalan"
"1272","author","Media",2006,7,19,"James","Maguire"
"1273","actor","Acting",2006,7,20,"Paul","Giamatti"
"1274","us senator","Politician",2006,7,24,"John","McCain"
"1275","actor","Acting",2006,7,25,"Edward","Burns"
"1276","journalist","Media",2006,7,26,"Sharon","Weinberger"
"1277","political expert","Consultant",2006,7,27,"Alon","Ben-Meir"
"1278","actor","Acting",2006,7,31,"Will","Ferrell"
"1279","academic","Academic",2006,8,1,"Vali","Nasr"
"1280","race car driver","Athletics",2006,8,10,"Dale","Earnhardt, Jr."
"1281","journalist","Media",2006,8,14,"Thomas","E. Ricks"
"1282","actor","Acting",2006,8,15,"Samuel","L. Jackson"
"1283","former governor of new jersey","Politician",2006,8,16,"Thomas","Kean"
"1284","actor","Acting",2006,8,17,"Matt","Dillon"
"1285","filmmaker","Media",2006,8,2,"Chris","Paine"
